Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
"Cocoa, beans",2248.92,17.72,83.4,26.01,11560
"Cocoa, beans",1938.42,17.54,82.11,26.11,11253
"Cocoa, beans",2301.54,17.81,82.79,26.24,9456
"Cocoa, beans",2592.35,17.61,85.07,25.56,9321
"Cocoa, beans",2344.72,17.61,84.12,25.76,8800
"Cocoa, beans",2339.3,17.7,84.54,25.76,8850
"Cocoa, beans",2326.09,18.09,84.63,26.11,9003
"Cocoa, beans",2718.08,18.3,85.43,26.12,9880
"Cocoa, beans",2061.61,17.8,84.36,25.88,9201
"Cocoa, beans",1934.62,17.94,83.43,26.21,8300
"Cocoa, beans",2217.12,18.03,84.39,26.1,5765
"Cocoa, beans",2249.7,18.01,84.24,26.11,5812
"Cocoa, beans",2530.96,18.15,85.33,26.02,6667
"Cocoa, beans",2504.7,18.19,85.45,26.02,6530
"Cocoa, beans",2686.2,18.38,85.77,26.13,6912
"Cocoa, beans",2414.79,18.18,85.76,25.93,7138
"Cocoa, beans",1999.53,18.2,84.36,26.27,7525
"Cocoa, beans",2362.8,18.7,84.03,26.79,7663
"Cocoa, beans",2792.95,18.24,86.04,25.95,8300
"Cocoa, beans",2751.24,18.31,85.98,26.02,9274
"Cocoa, beans",2646.28,18.4,86.02,26.1,9956
"Cocoa, beans",2302.99,18.22,84.48,26.25,9801
"Cocoa, beans",2692.34,18.37,85.54,26.18,7965
"Cocoa, beans",2424.55,18.28,85.16,26.18,7919
"Cocoa, beans",2363.63,18.35,84.92,26.28,8226
"Cocoa, beans",2892.78,18.49,86.09,26.18,10062
"Cocoa, beans",2729.53,18.41,86.03,26.11,12362
"Cocoa, beans",3085.79,18.34,86.1,26.03,13056
"Cocoa, beans",2922.18,18.43,85.51,26.23,10058
"Cocoa, beans",2546.33,18.43,84.23,26.49,7795
"Cocoa, beans",2938.29,18.22,85.42,26.06,10737
"Cocoa, beans",2771.73,18.38,84.98,26.3,7979
"Cocoa, beans",2607.96,18.37,84.67,26.35,7066
"Cocoa, beans",2604.59,18.19,83.44,26.43,7991
"Cocoa, beans",2308.51,18.27,83.65,26.47,11108
"Cocoa, beans",2410.13,18.58,83.45,26.81,11487
"Cocoa, beans",2967.41,18.67,85.48,26.46,7314
"Cocoa, beans",2333.46,18.5,84.85,26.43,9502
"Cocoa, beans",2109.34,18.51,83.52,26.72,8848
