Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
"Rubber, natural",2248.92,17.72,83.4,26.01,9322
"Rubber, natural",1938.42,17.54,82.11,26.11,9223
"Rubber, natural",2301.54,17.81,82.79,26.24,9866
"Rubber, natural",2592.35,17.61,85.07,25.56,9718
"Rubber, natural",2344.72,17.61,84.12,25.76,9573
"Rubber, natural",2339.3,17.7,84.54,25.76,10024
"Rubber, natural",2326.09,18.09,84.63,26.11,10285
"Rubber, natural",2718.08,18.3,85.43,26.12,10010
"Rubber, natural",2061.61,17.8,84.36,25.88,8604
"Rubber, natural",1934.62,17.94,83.43,26.21,8002
"Rubber, natural",2217.12,18.03,84.39,26.1,6913
"Rubber, natural",2249.7,18.01,84.24,26.11,6546
"Rubber, natural",2530.96,18.15,85.33,26.02,6077
"Rubber, natural",2504.7,18.19,85.45,26.02,6333
"Rubber, natural",2686.2,18.38,85.77,26.13,6448
"Rubber, natural",2414.79,18.18,85.76,25.93,6562
"Rubber, natural",1999.53,18.2,84.36,26.27,6008
"Rubber, natural",2362.8,18.7,84.03,26.79,5693
"Rubber, natural",2792.95,18.24,86.04,25.95,5249
"Rubber, natural",2751.24,18.31,85.98,26.02,6484
"Rubber, natural",2646.28,18.4,86.02,26.1,6348
"Rubber, natural",2302.99,18.22,84.48,26.25,6597
"Rubber, natural",2692.34,18.37,85.54,26.18,7435
"Rubber, natural",2424.55,18.28,85.16,26.18,9139
"Rubber, natural",2363.63,18.35,84.92,26.28,8857
"Rubber, natural",2892.78,18.49,86.09,26.18,10159
"Rubber, natural",2729.53,18.41,86.03,26.11,9612
"Rubber, natural",3085.79,18.34,86.1,26.03,8599
"Rubber, natural",2922.18,18.43,85.51,26.23,8337
"Rubber, natural",2546.33,18.43,84.23,26.49,9205
"Rubber, natural",2938.29,18.22,85.42,26.06,9701
"Rubber, natural",2771.73,18.38,84.98,26.3,8865
"Rubber, natural",2607.96,18.37,84.67,26.35,7817
"Rubber, natural",2604.59,18.19,83.44,26.43,6275
"Rubber, natural",2308.51,18.27,83.65,26.47,6721
"Rubber, natural",2410.13,18.58,83.45,26.81,6248
"Rubber, natural",2967.41,18.67,85.48,26.46,6842
"Rubber, natural",2333.46,18.5,84.85,26.43,5571
"Rubber, natural",2109.34,18.51,83.52,26.72,5903
